epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.70394,1.06323,3.43682,1.22369,0.57533,0.85,0.87734,0.63464,1.66715,1.06961,1.38576,0,0,0
2,3.24155,1.52337,2.50632,1.72801,0.58198,0.85,0.84748,0.63282,1.66221,1.05763,1.38276,1.17822e-06,1.17822e-06,1.17822e-06
3,4.84196,1.30852,2.24743,1.85018,0.57697,0.85,0.84867,0.63544,1.67437,1.05531,1.38373,2.33288e-06,2.33288e-06,2.33288e-06
4,6.56018,1.72271,2.98697,1.8943,0.57571,0.85,0.8505,0.6361,1.68057,1.0496,1.38069,3.46397e-06,3.46397e-06,3.46397e-06
5,8.15038,1.36483,3.15526,1.67421,0.6173,0.92223,0.90478,0.64198,1.67864,1.04636,1.37608,4.5715e-06,4.5715e-06,4.5715e-06
6,9.86112,1.53384,4.1205,1.91868,0.55884,0.85,0.85624,0.63746,1.64346,1.04283,1.35366,5.65548e-06,5.65548e-06,5.65548e-06
7,11.5722,1.11613,1.91846,1.31298,0.5715,0.85,0.85764,0.62948,1.6537,1.04294,1.35893,6.71588e-06,6.71588e-06,6.71588e-06
8,13.1128,0.96331,2.97351,1.3349,0.56234,0.85,0.85901,0.63049,1.65164,1.05274,1.35956,7.75273e-06,7.75273e-06,7.75273e-06
9,14.6438,1.12195,2.37095,1.39173,0.59091,0.86219,0.86007,0.63003,1.6314,1.04514,1.34812,8.76602e-06,8.76602e-06,8.76602e-06
10,16.2851,1.16875,2.38552,1.61761,0.57859,0.86667,0.89572,0.63373,1.62,1.03961,1.34143,9.75574e-06,9.75574e-06,9.75574e-06
11,18.0482,1.11756,1.92636,1.34669,0.55242,0.86667,0.89524,0.64084,1.61651,1.04427,1.34009,1.07219e-05,1.07219e-05,1.07219e-05
12,19.715,0.96797,1.93897,1.326,0.57385,0.86667,0.85517,0.63286,1.60552,1.05829,1.33405,1.16645e-05,1.16645e-05,1.16645e-05
13,21.3875,1.03578,3.1012,1.39562,0.6348,0.9402,0.91253,0.65212,1.61376,1.07085,1.33626,1.25835e-05,1.25835e-05,1.25835e-05
